# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
4.2.2.2       9343.97   346.07
4.2.1.79      9322.87   345.29
4.1.1.15      9315.44   345.02
5.1.99.1      9294.68   344.25
2.6.1.55      9284.49   343.87
1.1.1.60      9222.51   341.57
2.5.1.120     9201.77   340.81
2.5.1.78      9177.77   339.92
3.1.22.4      9156.08   339.11
3.4.11.19     9103.84   337.18
3.2.1.99      9085.44   336.50
1.1.2.4       9083.28   336.42
6.2.1.48      9052.08   335.26
1.1.1.127     9032.03   334.52
1.1.1.336     9019.83   334.07
3.2.1.17      9019.40   334.05
3.4.23.36     9017.90   334.00
5.3.3.18      9009.90   333.70
3.5.4.33      8993.94   333.11
1.2.1.28      8976.95   332.48
4.2.1.45      8971.23   332.27
4.2.1.151     8950.51   331.50
6.2.1.16      8897.88   329.55
6.3.4.20      8861.62   328.21
3.2.1.139     8842.68   327.51
2.7.1.202     8838.66   327.36
4.3.99.3      8700.85   322.25
2.7.1.12      8690.93   321.89
1.7.2.1       8677.92   321.40
2.6.1.2       8647.26   320.27
2.7.1.170     8628.94   319.59
1.1.1.284     8628.54   319.58
5.1.3.4       8624.76   319.44
3.6.3.25      8616.64   319.13
3.5.3.1       8608.31   318.83
2.5.1.129     8544.44   316.46
5.1.1.20      8528.39   315.87
3.1.26.5      8515.35   315.38
5.4.99.18     8514.42   315.35
3.2.1.26      8491.30   314.49
2.4.2.7       8491.26   314.49
1.18.1.3      8482.92   314.18
3.2.1.28      8465.57   313.54
1.3.7.9       8458.85   313.29
4.2.1.22      8456.05   313.19
3.5.99.10     8420.82   311.88
2.5.1.56      8366.46   309.87
3.4.17.13     8356.99   309.52
1.1.1.26      8354.93   309.44
2.3.1.117     8348.73   309.21
1.1.1.132     8335.49   308.72
3.4.21.66     8327.46   308.42
2.7.1.48      8327.16   308.41
5.1.3.11      8312.44   307.87
2.3.1.41      8267.07   306.19
3.1.3.45      8234.01   304.96
6.2.1.17      8213.84   304.22
3.6.3.5       8200.02   303.70
3.6.3.3       8200.02   303.70
6.3.5.10      8197.21   303.60
2.6.1.44      8193.70   303.47
5.5.1.2       8191.56   303.39
1.1.1.27      8188.96   303.29
1.1.1.4       8170.91   302.63
1.1.1.303     8170.91   302.63
2.6.1.66      8169.75   302.58
2.6.1.51      8149.37   301.83
2.6.1.45      8149.37   301.83
3.1.13.5      8148.92   301.81
4.1.3.4       8146.94   301.74
3.1.1.5       8125.06   300.93
3.5.2.5       8116.99   300.63
5.3.3.17      8116.19   300.60
1.13.11.5     8090.08   299.63
3.1.3.2       8084.19   299.41
3.2.2.1       8058.74   298.47
3.2.1.91      8037.40   297.68
5.4.2.11      8036.76   297.66
1.2.7.4       8028.82   297.36
2.7.8.7       8023.30   297.16
4.1.2.27      8018.69   296.99
3.2.2.9       8008.56   296.61
3.6.3.30      8002.54   296.39
4.2.1.7       8000.79   296.33
4.1.2.52      7996.14   296.15
3.2.2.20      7995.37   296.12
2.7.7.33      7980.25   295.56
2.3.1.19      7942.79   294.18
3.5.1.19      7922.79   293.44
1.11.1.9      7908.93   292.92
4.2.1.96      7902.72   292.69
3.1.1.24      7898.03   292.52
1.4.3.19      7837.53   290.28
1.3.5.6       7809.06   289.22
1.1.3.46      7801.61   288.95
3.2.1.11      7782.03   288.22
4.1.3.38      7781.85   288.22
3.5.4.1       7775.17   287.97
3.5.4.19      7770.90   287.81
4.3.99.4      7765.13   287.60
1.7.2.2       7763.26   287.53
2.7.1.63      7759.72   287.40
3.5.99.6      7747.02   286.93
3.1.4.53      7723.54   286.06
3.2.1.156     7671.39   284.13
6.3.5.11      7667.98   284.00
6.3.5.9       7667.98   284.00
1.8.5.4       7661.02   283.74
5.4.99.9      7635.24   282.79
3.1.2.1       7622.96   282.33
4.3.1.1       7609.68   281.84
1.13.11.27    7609.37   281.83
1.1.1.369     7601.80   281.55
1.1.1.18      7601.80   281.55
3.7.1.3       7596.99   281.37
5.1.2.7       7596.36   281.35
3.1.4.55      7592.10   281.19
3.5.1.10      7571.18   280.41
2.3.1.183     7556.17   279.86
2.7.1.181     7554.47   279.80
2.1.1.294     7554.47   279.80
3.6.1.31      7497.86   277.70
3.4.24.15     7489.13   277.38
2.6.1.98      7470.57   276.69
1.1.1.91      7462.73   276.40
6.3.2.2       7440.90   275.59
2.8.1.10      7405.80   274.29
1.5.1.7       7404.56   274.24
2.6.1.62      7391.73   273.77
2.4.1.268     7382.46   273.42
2.5.1.26      7366.95   272.85
3.1.3.83      7360.62   272.62
3.1.3.82      7360.62   272.62
1.1.1.61      7344.01   272.00
3.5.4.5       7330.64   271.51
1.5.99.5      7262.42   268.98
3.1.3.100     7251.27   268.57
3.5.1.1       7245.69   268.36
1.3.3.11      7220.51   267.43
3.6.1.9       7196.64   266.54
3.4.22.40     7152.22   264.90
1.2.7.10      7150.04   264.82
2.1.1.197     7141.60   264.50
2.1.1.258     7131.64   264.13
4.1.1.52      7095.49   262.80
1.12.98.1     7066.61   261.73
1.14.13.2     7059.60   261.47
1.2.1.10      7044.24   260.90
2.4.1.64      7025.90   260.22
2.4.2.4       6985.95   258.74
1.7.99.1      6945.45   257.24
4.1.1.39      6904.78   255.73
2.4.1.345     6859.82   254.07
4.2.1.44      6837.21   253.23
2.7.7.53      6835.64   253.17
6.3.4.6       6824.12   252.75
6.2.1.25      6811.43   252.28
3.2.1.172     6807.78   252.14
4.1.1.17      6797.52   251.76
1.14.13.208   6781.76   251.18
3.7.1.2       6779.12   251.08
5.3.1.3       6764.82   250.55
5.3.1.25      6764.82   250.55
5.1.1.13      6754.33   250.16
3.5.1.5       6729.33   249.23
2.7.2.2       6723.16   249.01
1.1.1.262     6717.56   248.80
4.1.1.2       6709.99   248.52
1.21.98.3     6704.06   248.30
4.1.99.3      6700.79   248.18
3.5.1.105     6684.64   247.58
2.3.3.14      6678.04   247.33
4.1.3.16      6659.50   246.65
6.2.1.34      6659.13   246.63
4.2.1.18      6645.58   246.13
2.4.1.245     6645.01   246.11
2.7.8.28      6625.78   245.40
1.10.9.1      6588.70   244.03
2.3.1.79      6558.64   242.91
3.13.1.1      6552.43   242.68
1.5.8.1       6547.85   242.51
1.5.8.2       6547.85   242.51
1.3.99.12     6537.45   242.13
4.1.2.40      6528.84   241.81
1.8.5.5       6525.01   241.67
1.7.1.15      6518.70   241.43
5.1.3.25      6501.75   240.81
1.14.19.45    6468.20   239.56
1.14.19.23    6468.20   239.56
3.6.3.21      6454.23   239.05
1.1.5.5       6454.02   239.04
3.4.15.1      6429.96   238.15
5.1.3.10      6409.58   237.39
1.4.3.21      6394.03   236.82
4.1.1.46      6388.79   236.62
2.1.1.86      6385.43   236.50
1.8.5.2       6380.12   236.30
1.7.2.3       6373.72   236.06
3.5.3.9       6369.17   235.90
4.2.1.53      6353.35   235.31
3.1.3.27      6353.22   235.30
3.1.4.52      6320.04   234.08
3.6.3.55      6316.68   233.95
4.1.1.3       6301.50   233.39
2.4.1.46      6295.51   233.17
4.1.99.19     6290.99   233.00
3.5.1.87      6243.61   231.24
4.3.1.17      6235.87   230.96
6.3.2.14      6229.42   230.72
3.4.11.10     6195.71   229.47
3.1.3.73      6184.01   229.04
1.5.3.19      6181.76   228.95
1.4.3.5       6178.26   228.82
3.1.1.102     6171.49   228.57
2.1.1.177     6133.14   227.15
3.6.1.23      6110.60   226.32
3.6.3.15      6080.85   225.22
2.4.1.315     6080.83   225.22
3.2.1.136     6037.75   223.62
3.4.25.1      6011.87   222.66
2.7.1.20      6011.64   222.65
5.1.3.6       5984.53   221.65
1.14.13.127   5964.61   220.91
1.4.9.1       5957.62   220.65
6.3.1.20      5951.74   220.43
3.7.1.22      5923.86   219.40
3.4.25.2      5910.70   218.91
3.4.17.18     5910.38   218.90
1.3.7.8       5902.22   218.60
1.7.7.1       5894.22   218.30
4.4.1.2       5890.40   218.16
6.3.2.31      5882.49   217.87
6.3.2.34      5882.49   217.87
3.5.1.54      5869.82   217.40
4.1.2.25      5856.27   216.90
1.1.1.29      5846.74   216.55
6.3.4.18      5841.98   216.37
1.3.5.2       5783.88   214.22
3.1.3.64      5771.22   213.75
4.2.1.36      5714.77   211.66
5.1.3.23      5680.62   210.39
2.7.13.1      5639.90   208.89
1.1.1.36      5583.67   206.80
5.3.4.1       5559.02   205.89
1.14.13.1     5555.94   205.78
3.4.21.96     5520.16   204.45
3.2.1.35      5474.82   202.77
1.1.1.140     5467.79   202.51
3.5.1.26      5466.49   202.46
1.5.1.3       5424.12   200.89
2.1.1.144     5409.45   200.35
3.2.1.58      5394.97   199.81
1.14.14.9     5372.44   198.98
1.13.11.2     5362.14   198.60
3.4.14.4      5348.16   198.08
1.2.1.46      5331.96   197.48
3.6.1.7       5322.67   197.14
1.5.1.33      5316.59   196.91
3.5.4.12      5303.19   196.41
5.1.3.20      5299.84   196.29
4.2.2.6       5286.55   195.80
3.3.2.9       5282.70   195.66
3.4.19.1      5265.42   195.02
3.4.22.70     5252.91   194.55
4.2.1.120     5250.13   194.45
5.3.3.3       5250.13   194.45
2.3.1.46      5248.04   194.37
3.6.3.38      5240.72   194.10
2.7.1.21      5198.50   192.54
5.1.3.7       5186.26   192.08
1.5.8.4       5151.59   190.80
1.13.11.3     5129.59   189.98
3.2.1.86      5121.40   189.68
4.1.1.11      5101.41   188.94
4.2.1.83      5082.17   188.23
1.7.1.13      5081.06   188.19
1.1.1.47      5079.61   188.13
3.5.1.97      5066.69   187.66
3.2.1.80      5042.77   186.77
2.3.3.5       5031.05   186.34
3.1.6.6       4993.62   184.95
2.4.1.346     4989.93   184.81
2.1.1.33      4988.80   184.77
6.1.1.24      4983.07   184.56
4.3.1.7       4970.54   184.09
2.2.1.9       4954.12   183.49
1.1.3.9       4931.56   182.65
4.2.1.42      4921.11   182.26
1.10.3.10     4911.82   181.92
2.8.1.4       4908.79   181.81
3.8.1.5       4900.73   181.51
2.7.7.85      4878.08   180.67
5.4.99.63     4860.96   180.04
2.1.1.171     4860.10   180.00
1.3.1.101     4858.69   179.95
1.3.7.11      4858.69   179.95
6.3.2.29      4826.51   178.76
6.3.2.30      4826.51   178.76
5.4.99.28     4820.50   178.54
3.6.3.41      4791.98   177.48
3.6.1.22      4768.62   176.62
2.3.1.169     4755.17   176.12
3.1.3.23      4754.59   176.10
2.7.2.7       4730.16   175.19
3.2.1.54      4726.01   175.04
3.2.1.133     4726.01   175.04
5.4.99.13     4717.39   174.72
5.4.2.6       4716.89   174.70
4.2.2.3       4703.21   174.19
2.8.3.1       4694.29   173.86
4.1.2.44      4667.81   172.88
3.1.3.71      4657.61   172.50
2.7.1.56      4642.63   171.95
4.1.1.81      4640.14   171.86
5.4.99.29     4638.51   171.80
1.1.1.261     4623.25   171.23
3.4.21.116    4622.01   171.19
3.1.1.1       4620.93   171.15
3.1.1.83      4608.38   170.68
1.2.1.26      4599.39   170.35
5.1.3.5       4596.02   170.22
1.8.4.14      4591.04   170.04
2.6.99.2      4585.08   169.82
1.2.1.81      4568.99   169.22
1.14.99.50    4565.70   169.10
1.8.99.2      4556.81   168.77
1.2.1.68      4546.77   168.40
4.2.1.114     4546.72   168.40
5.3.3.2       4535.61   167.99
1.14.11.17    4529.11   167.74
1.14.13.22    4496.41   166.53
5.1.99.4      4496.23   166.53
3.2.1.196     4492.24   166.38
2.7.8.12      4483.22   166.05
2.3.1.82      4470.64   165.58
3.1.12.1      4457.27   165.08
1.1.1.30      4454.77   164.99
1.8.1.7       4451.60   164.87
2.4.2.53      4451.30   164.86
3.5.1.24      4449.96   164.81
1.1.1.409     4442.60   164.54
1.1.1.408     4442.60   164.54
1.14.13.40    4437.63   164.36
2.1.1.100     4436.63   164.32
2.3.1.265     4418.53   163.65
3.5.4.3       4402.91   163.07
2.3.1.201     4379.48   162.20
4.1.2.43      4369.02   161.82
1.13.11.8     4368.79   161.81
1.1.1.304     4351.04   161.15
1.1.1.76      4351.04   161.15
3.1.1.81      4347.92   161.03
2.7.8.43      4340.96   160.78
6.3.1.13      4337.26   160.64
5.4.4.2       4324.72   160.17
1.1.1.328     4313.76   159.77
4.1.3.25      4304.66   159.43
1.5.98.2      4292.94   159.00
4.1.1.86      4286.50   158.76
1.17.2.2      4286.27   158.75
2.4.1.250     4282.31   158.60
2.3.1.57      4280.93   158.55
2.1.1.148     4274.36   158.31
2.1.1.173     4270.05   158.15
2.1.1.264     4270.05   158.15
1.8.5.7       4246.26   157.27
2.5.1.44      4201.77   155.62
2.7.10.2      4197.41   155.46
3.5.1.9       4192.94   155.29
2.3.1.20      4175.95   154.66
3.4.21.62     4170.36   154.46
3.2.1.73      4159.18   154.04
4.1.1.73      4146.64   153.58
1.1.1.93      4146.64   153.58
1.1.1.83      4146.64   153.58
4.1.1.83      4137.81   153.25
4.1.3.30      4132.29   153.05
6.3.1.10      4123.80   152.73
2.6.1.33      4119.41   152.57
1.1.1.335     4115.61   152.43
2.8.3.10      4113.44   152.35
3.1.1.75      4101.90   151.92
1.3.99.23     4098.34   151.79
3.4.17.19     4094.79   151.66
2.7.7.68      4083.18   151.23
3.1.3.8       4071.94   150.81
2.5.1.30      4050.16   150.01
2.8.3.18      4007.65   148.43
4.1.3.39      3986.37   147.64
6.3.3.2       3977.97   147.33
1.3.5.3       3972.48   147.13
2.1.1.104     3959.94   146.66
1.2.1.99      3947.40   146.20
2.4.2.21      3937.34   145.83
3.2.1.97      3936.66   145.80
1.4.5.1       3929.38   145.53
1.1.1.122     3926.91   145.44
2.4.1.266     3916.95   145.07
6.2.1.26      3911.43   144.87
3.4.17.14     3886.62   143.95
5.4.2.7       3884.26   143.86
2.1.3.9       3874.44   143.50
2.8.4.1       3870.13   143.34
1.14.13.9     3858.37   142.90
3.4.11.4      3854.48   142.76
2.7.3.13      3845.62   142.43
6.2.1.44      3827.87   141.77
3.1.3.26      3823.85   141.62
3.2.1.197     3821.49   141.54
1.1.2.9       3816.08   141.34
1.1.1.281     3815.55   141.32
3.1.21.4      3808.91   141.07
3.5.1.116     3803.96   140.89
2.7.1.19      3788.59   140.32
2.4.1.281     3773.08   139.74
2.7.1.107     3757.47   139.17
2.4.1.348     3738.50   138.46
4.1.1.38      3718.68   137.73
4.2.1.115     3717.32   137.68
6.3.4.23      3695.45   136.87
1.3.99.38     3694.76   136.84
1.7.3.3       3694.63   136.84
2.3.1.182     3687.73   136.58
1.1.1.67      3681.08   136.34
3.2.1.184     3680.45   136.31
3.6.4.6       3675.10   136.11
6.1.1.23      3674.32   136.09
5.3.1.17      3669.03   135.89
2.3.1.48      3651.02   135.22
3.6.3.40      3633.26   134.57
2.3.1.168     3619.01   134.04
6.3.3.3       3615.90   133.92
1.17.99.1     3601.60   133.39
1.3.99.8      3594.82   133.14
1.14.14.1     3594.62   133.13
3.5.3.6       3587.15   132.86
3.6.3.31      3585.58   132.80
1.16.1.1      3569.80   132.21
4.2.1.84      3561.24   131.90
2.6.1.59      3553.49   131.61
5.1.3.32      3552.47   131.57
2.1.1.44      3525.56   130.58
5.1.99.8      3511.19   130.04
1.13.11.81    3511.19   130.04
5.3.1.30      3487.20   129.16
2.1.1.131     3484.98   129.07
1.14.19.49    3480.11   128.89
2.7.1.184     3476.44   128.76
3.7.1.12      3475.44   128.72
3.6.1.54      3460.31   128.16
1.1.1.57      3457.14   128.04
2.6.1.37      3451.58   127.84
6.2.1.27      3450.31   127.79
1.2.1.67      3444.71   127.58
2.7.1.175     3424.71   126.84
2.7.8.26      3424.29   126.83
3.8.1.3       3386.87   125.44
1.10.2.2      3369.83   124.81
6.3.1.1       3363.20   124.56
2.6.1.21      3361.14   124.49
3.2.1.46      3327.64   123.25
2.7.7.73      3315.36   122.79
2.3.1.247     3314.23   122.75
1.8.99.5      3305.45   122.42
3.4.17.22     3302.70   122.32
3.2.1.41      3299.25   122.19
1.1.3.41      3284.27   121.64
3.2.1.10      3280.61   121.50
1.14.19.9     3269.82   121.10
1.16.3.2      3267.75   121.03
2.7.8.6       3264.97   120.92
2.5.1.42      3259.79   120.73
1.14.18.1     3255.13   120.56
2.7.4.28      3251.11   120.41
2.7.11.33     3251.11   120.41
3.5.1.119     3249.18   120.34
1.14.15.7     3248.03   120.30
2.7.11.5      3229.05   119.59
2.4.1.342     3228.96   119.59
2.4.1.320     3225.23   119.45
2.4.1.319     3225.23   119.45
2.7.1.29      3221.69   119.32
4.6.1.15      3221.69   119.32
2.7.1.28      3221.69   119.32
2.5.1.135     3212.87   119.00
5.3.3.8       3205.98   118.74
1.3.1.31      3198.80   118.47
5.3.1.27      3181.58   117.84
2.7.1.215     3179.05   117.74
4.1.3.36      3173.31   117.53
4.4.1.15      3160.60   117.06
3.5.4.22      3154.20   116.82
5.1.3.9       3147.31   116.57
2.1.1.265     3145.58   116.50
2.7.7.71      3143.70   116.43
1.1.1.130     3143.05   116.41
3.4.24.3      3139.19   116.27
2.1.1.246     3132.44   116.02
3.1.1.3       3129.59   115.91
1.5.1.38      3123.58   115.69
2.7.7.62      3118.52   115.50
3.1.31.1      3113.72   115.32
6.3.1.19      3109.13   115.15
4.1.3.40      3106.14   115.04
5.3.2.6       3104.90   115.00
1.14.13.20    3098.94   114.78
1.2.1.87      3097.32   114.72
3.5.3.8       3095.98   114.67
2.5.1.113     3095.04   114.63
4.2.3.3       3093.54   114.58
5.1.3.26      3090.35   114.46
5.4.3.3       3083.11   114.19
4.2.1.100     3076.56   113.95
5.4.99.24     3060.53   113.35
6.2.1.32      3054.03   113.11
2.3.2.6       3030.02   112.22
2.3.2.27      3029.87   112.22
2.7.1.37      3014.15   111.64
1.6.3.4       3001.89   111.18
4.1.1.74      3000.68   111.14
1.13.11.4     2994.29   110.90
4.1.1.103     2992.94   110.85
2.3.1.189     2981.99   110.44
1.14.16.1     2981.03   110.41
6.3.2.3       2979.00   110.33
4.2.1.141     2978.60   110.32
4.1.3.17      2976.24   110.23
4.2.1.149     2974.71   110.17
2.1.1.303     2972.84   110.11
1.14.14.35    2966.16   109.86
4.2.1.68      2964.92   109.81
1.3.8.4       2958.57   109.58
1.2.1.58      2951.05   109.30
1.2.1.22      2949.89   109.26
2.6.1.82      2941.96   108.96
5.1.3.22      2938.69   108.84
5.4.99.27     2938.62   108.84
3.1.1.76      2935.87   108.74
2.7.1.50      2931.01   108.56
2.4.1.349     2880.79   106.70
4.4.1.19      2876.67   106.54
5.1.2.1       2871.24   106.34
5.4.99.19     2870.48   106.31
2.6.1.18      2867.07   106.19
2.1.1.21      2866.09   106.15
2.1.1.5       2846.55   105.43
2.1.1.220     2838.53   105.13
2.1.1.219     2838.53   105.13
2.1.1.223     2837.57   105.10
2.1.1.90      2822.59   104.54
1.18.1.1      2820.22   104.45
5.3.2.5       2811.08   104.11
3.4.21.10     2803.42   103.83
3.4.24.28     2798.35   103.64
2.3.3.10      2796.48   103.57
4.2.1.40      2778.13   102.89
1.1.1.346     2776.98   102.85
3.6.1.15      2775.25   102.79
2.4.1.280     2764.71   102.40
1.2.1.21      2758.67   102.17
1.1.1.308     2751.68   101.91
3.5.5.1       2740.22   101.49
1.14.13.149   2732.56   101.21
2.7.7.75      2720.85   100.77
2.7.1.36      2717.67   100.65
2.4.1.4       2704.68   100.17
1.12.1.5      2677.34    99.16
1.4.1.26      2654.14    98.30
1.4.1.12      2654.14    98.30
3.7.1.19      2644.15    97.93
1.8.5.3       2640.53    97.80
2.3.2.5       2632.49    97.50
2.3.1.101     2630.26    97.42
1.13.12.4     2630.06    97.41
4.1.1.79      2623.09    97.15
4.2.1.147     2616.70    96.91
2.5.1.73      2611.55    96.72
4.1.3.45      2607.26    96.57
3.4.15.6      2600.80    96.33
2.6.1.36      2586.87    95.81
2.1.1.166     2584.79    95.73
4.1.1.71      2584.72    95.73
1.13.11.1     2579.47    95.54
5.2.1.4       2579.46    95.54
3.2.1.65      2577.70    95.47
3.2.1.50      2571.41    95.24
2.7.1.72      2565.67    95.02
1.1.1.310     2563.44    94.94
4.1.1.41      2558.80    94.77
4.2.1.32      2550.61    94.47
2.8.3.19      2549.85    94.44
5.1.1.8       2549.67    94.43
2.7.6.2       2527.22    93.60
1.1.5.4       2522.89    93.44
2.2.1.8       2515.79    93.18
5.1.2.2       2497.61    92.50
1.1.1.34      2488.41    92.16
4.2.1.25      2488.06    92.15
3.2.1.202     2468.20    91.41
2.3.2.13      2462.88    91.22
3.1.3.41      2462.16    91.19
3.5.3.13      2452.02    90.82
2.6.1.97      2445.89    90.59
2.1.1.334     2443.08    90.48
2.6.1.109     2437.28    90.27
1.3.1.2       2428.25    89.94
6.4.1.5       2418.10    89.56
1.20.2.1      2417.73    89.55
1.20.9.1      2417.73    89.55
1.14.13.227   2414.17    89.41
2.1.1.17      2411.61    89.32
3.6.3.9       2403.02    89.00
4.2.1.108     2402.20    88.97
2.1.1.195     2395.22    88.71
1.13.11.11    2387.52    88.43
1.14.14.12    2382.35    88.24
2.3.1.187     2379.55    88.13
3.2.1.96      2370.96    87.81
1.15.1.2      2370.94    87.81
2.5.1.21      2361.77    87.47
1.1.1.2       2343.19    86.78
2.4.2.3       2341.62    86.73
2.4.1.336     2335.13    86.49
2.1.1.71      2329.69    86.28
1.2.1.91      2329.36    86.27
3.3.2.12      2329.36    86.27
5.3.3.7       2326.09    86.15
3.5.99.7      2324.12    86.08
2.7.1.51      2321.28    85.97
4.1.3.24      2319.46    85.91
1.3.1.74      2310.33    85.57
4.1.1.25      2308.33    85.49
2.4.2.52      2306.89    85.44
1.1.1.17      2306.75    85.44
2.4.1.212     2291.73    84.88
4.4.1.23      2287.21    84.71
4.2.2.8       2276.67    84.32
2.7.1.156     2271.74    84.14
2.7.1.52      2270.98    84.11
1.3.5.5       2267.94    84.00
3.2.2.24      2267.59    83.98
4.1.1.77      2265.72    83.92
2.7.7.58      2263.57    83.84
1.14.19.3     2262.49    83.80
6.5.1.4       2259.74    83.69
3.1.3.37      2254.19    83.49
5.1.3.15      2245.84    83.18
1.4.99.6      2241.22    83.01
3.3.2.13      2240.81    82.99
2.7.1.166     2238.94    82.92
4.1.99.2      2229.27    82.57
1.14.13.218   2225.92    82.44
4.2.1.70      2221.49    82.28
4.1.1.55      2213.74    81.99
1.6.5.8       2211.59    81.91
1.2.1.60      2210.31    81.86
2.2.1.10      2208.49    81.80
2.7.14.1      2198.85    81.44
3.13.1.6      2191.98    81.18
3.4.21.4      2191.22    81.16
3.5.3.26      2190.62    81.13
2.3.1.174     2186.53    80.98
2.1.1.207     2183.80    80.88
1.3.1.108     2173.21    80.49
1.17.99.7     2171.66    80.43
1.5.1.10      2167.67    80.28
3.2.2.4       2165.13    80.19
3.1.2.12      2165.04    80.19
2.8.3.6       2164.16    80.15
4.1.1.101     2157.72    79.92
1.14.13.236   2157.62    79.91
1.17.5.1      2157.41    79.90
3.1.2.25      2157.41    79.90
1.3.8.12      2153.78    79.77
1.6.2.4       2151.39    79.68
1.1.1.305     2145.71    79.47
2.1.2.13      2145.71    79.47
1.17.8.1      2142.10    79.34
4.99.1.3      2142.05    79.34
2.1.1.266     2135.81    79.10
3.2.1.180     2132.42    78.98
2.7.1.35      2130.87    78.92
3.6.3.7       2130.53    78.91
4.1.1.8       2130.38    78.90
3.5.1.49      2126.66    78.77
1.1.1.367     2126.18    78.75
2.3.1.245     2124.65    78.69
1.4.1.24      2116.81    78.40
1.8.5.6       2114.63    78.32
2.7.1.162     2111.41    78.20
1.1.1.290     2101.19    77.82
2.1.1.187     2098.51    77.72
1.7.1.7       2097.63    77.69
3.1.2.23      2096.18    77.64
3.2.2.28      2095.01    77.59
3.1.1.85      2093.52    77.54
3.5.3.18      2091.89    77.48
4.1.1.87      2086.60    77.28
2.1.1.132     2081.33    77.09
4.2.1.156     2075.87    76.88
2.4.2.48      2074.67    76.84
1.12.5.1      2065.34    76.49
3.4.13.21     2064.10    76.45
3.1.3.4       2063.15    76.41
3.5.1.115     2062.62    76.39
2.1.1.249     2059.91    76.29
3.2.2.8       2055.49    76.13
1.14.13.24    2051.75    75.99
2.7.1.191     2044.21    75.71
3.2.1.170     2036.11    75.41
1.1.1.312     2035.74    75.40
4.2.2.10      2033.72    75.32
4.1.1.9       2030.96    75.22
3.2.1.81      2023.10    74.93
1.3.3.3       2020.82    74.85
1.1.1.410     2017.10    74.71
3.5.1.41      2014.78    74.62
5.1.1.17      2013.98    74.59
4.1.1.97      2012.65    74.54
3.1.3.104     2009.47    74.42
2.7.1.219     2009.44    74.42
2.7.1.220     2009.44    74.42
4.2.99.20     2002.83    74.18
1.1.3.8       2001.65    74.14
5.2.1.13      1997.87    74.00
2.7.8.39      1986.14    73.56
2.7.1.214     1985.05    73.52
6.1.1.27      1983.13    73.45
5.4.99.20     1979.30    73.31
3.4.21.101    1978.47    73.28
1.8.2.2       1973.29    73.08
3.1.3.81      1972.68    73.06
5.5.1.1       1966.88    72.85
5.4.99.61     1966.60    72.84
5.4.99.60     1966.60    72.84
2.4.2.54      1961.76    72.66
2.7.1.60      1960.43    72.61
2.7.1.188     1959.20    72.56
2.5.1.68      1959.09    72.56
2.3.3.15      1955.60    72.43
1.5.99.4      1955.21    72.42
5.3.1.35      1947.21    72.12
1.1.1.350     1937.62    71.76
1.1.1.28      1936.73    71.73
2.7.1.53      1932.18    71.56
1.14.12.17    1930.63    71.50
3.6.1.3       1926.18    71.34
2.5.1.103     1925.37    71.31
1.1.1.53      1916.12    70.97
2.1.1.130     1907.82    70.66
2.1.1.210     1906.57    70.61
6.3.4.22      1904.91    70.55
2.1.1.341     1903.59    70.50
3.4.11.14     1886.43    69.87
5.3.1.15      1885.92    69.85
5.4.99.21     1885.26    69.82
2.3.1.37      1878.49    69.57
1.14.15.14    1877.77    69.55
2.4.1.289     1875.43    69.46
3.4.14.13     1860.65    68.91
2.7.1.144     1857.07    68.78
3.6.3.20      1854.68    68.69
1.14.12.1     1853.77    68.66
2.1.1.34      1848.64    68.47
1.1.1.401     1848.04    68.45
1.17.2.1      1846.96    68.41
3.5.2.17      1842.87    68.25
4.3.1.27      1824.95    67.59
4.2.1.76      1819.90    67.40
2.3.1.81      1809.04    67.00
2.7.1.92      1808.80    66.99
1.13.11.37    1805.36    66.87
3.5.1.3       1796.10    66.52
4.2.1.80      1795.70    66.51
1.14.13.107   1795.07    66.48
3.5.4.39      1792.29    66.38
1.1.1.90      1791.73    66.36
2.1.1.172     1789.93    66.29
5.4.99.7      1784.92    66.11
2.1.1.133     1784.14    66.08
2.1.1.271     1784.14    66.08
3.4.22.15     1771.55    65.61
1.14.13.7     1764.79    65.36
3.5.1.118     1762.26    65.27
3.1.21.7      1760.32    65.20
4.1.2.20      1756.40    65.05
3.5.1.56      1745.41    64.64
1.1.99.31     1743.98    64.59
3.5.99.2      1741.62    64.50
3.1.1.15      1739.36    64.42
2.1.1.215     1738.69    64.40
2.1.1.216     1738.69    64.40
1.13.11.20    1736.69    64.32
6.2.1.9       1725.94    63.92
1.3.1.43      1724.40    63.87
4.1.1.4       1721.70    63.77
4.1.1.61      1720.51    63.72
2.8.3.8       1718.50    63.65
2.4.1.7       1717.45    63.61
3.4.11.6      1713.21    63.45
6.2.1.42      1704.55    63.13
1.14.14.47    1703.30    63.09
6.3.2.43      1697.49    62.87
4.2.1.164     1694.79    62.77
1.4.1.21      1692.75    62.69
3.2.1.123     1691.15    62.64
1.3.99.4      1689.52    62.57
1.1.1.79      1687.45    62.50
3.5.1.68      1681.12    62.26
4.1.1.18      1674.40    62.01
4.2.1.81      1674.15    62.01
3.4.23.51     1671.70    61.91
1.7.7.2       1671.25    61.90
4.2.1.118     1660.35    61.49
2.7.1.213     1659.48    61.46
3.2.1.113     1655.60    61.32
5.1.1.4       1638.62    60.69
2.7.1.1       1637.77    60.66
1.2.1.9       1631.17    60.41
3.5.1.110     1628.44    60.31
