# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
6.1.1.3      33867.15  1254.34
3.4.14.5     33792.88  1251.59
1.2.1.79     33762.04  1250.45
1.2.1.16     33762.04  1250.45
1.2.1.20     33762.04  1250.45
3.5.2.14     33761.93  1250.44
2.7.1.17     33229.63  1230.73
1.2.1.8      33208.08  1229.93
6.1.1.19     33068.33  1224.75
3.5.2.3      32916.19  1219.12
1.1.1.3      32867.31  1217.31
2.1.1.14     32861.17  1217.08
1.5.1.20     32709.03  1211.45
2.3.1.15     32377.33  1199.16
1.12.99.6    32354.75  1198.32
2.6.1.42     32325.72  1197.25
6.2.1.5      32316.52  1196.91
1.1.1.14     32136.42  1190.24
4.3.3.7      32062.38  1187.50
6.3.5.2      32025.60  1186.13
3.2.2.21     31990.41  1184.83
6.3.4.14     31926.82  1182.47
1.97.1.4     31892.49  1181.20
3.2.1.8      31701.78  1174.14
1.3.8.1      31696.20  1173.93
2.3.3.1      31435.51  1164.28
3.6.3.8      31241.56  1157.09
2.4.1.83     31218.80  1156.25
1.1.2.8      31156.24  1153.93
4.2.1.11     31105.39  1152.05
3.2.1.37     30971.75  1147.10
2.7.2.1      30882.96  1143.81
6.1.1.15     30789.65  1140.36
5.3.1.8      30684.06  1136.45
1.1.1.85     30588.33  1132.90
4.3.1.19     30533.47  1130.87
1.2.7.8      30460.57  1128.17
3.4.17.21    30201.43  1118.57
1.2.4.2      30196.60  1118.39
6.1.1.12     29899.96  1107.41
2.7.7.59     29888.83  1106.99
3.5.1.44     29691.76  1099.69
2.4.1.321    29298.11  1085.12
4.1.1.20     29170.33  1080.38
6.3.4.2      29053.60  1076.06
3.1.26.4     28864.23  1069.05
3.1.21.5     28781.39  1065.98
1.1.1.343    28668.15  1061.78
1.1.1.44     28668.15  1061.78
1.2.1.88     28351.59  1050.06
2.1.2.10     28218.32  1045.12
2.7.1.40     28071.71  1039.69
2.6.1.19     28059.96  1039.26
2.7.7.80     27907.60  1033.61
3.4.24.71    27886.81  1032.84
2.6.1.17     27825.19  1030.56
2.5.1.48     27481.67  1017.84
5.1.3.14     27463.56  1017.17
1.2.7.5      27324.59  1012.02
2.10.1.1     27207.39  1007.68
2.1.2.1      27152.68  1005.65
2.3.1.180    27028.61  1001.06
5.4.2.12     26828.53   993.65
3.6.1.11     26814.51   993.13
3.6.1.40     26780.92   991.89
3.1.11.6     26762.39   991.20
2.1.1.79     26743.98   990.52
3.5.4.10     26591.67   984.88
1.12.1.2     26512.61   981.95
3.1.3.5      26429.29   978.86
2.1.2.3      26387.46   977.31
2.5.1.49     26358.37   976.24
3.2.1.45     26317.03   974.70
2.4.2.14     26306.34   974.31
3.2.1.14     26266.26   972.82
1.1.1.136    26235.99   971.70
2.7.7.19     26186.37   969.87
2.2.1.7      26072.57   965.65
6.3.2.10     25993.77   962.73
1.1.3.15     25955.64   961.32
3.1.1.31     25917.29   959.90
1.1.1.205    25847.41   957.31
6.3.2.13     25513.65   944.95
2.7.7.23     25369.13   939.60
4.2.1.129    25257.39   935.46
5.4.99.17    25257.39   935.46
1.1.5.2      25222.46   934.17
